1013 0.1 0.0 1 1013 irqbalance 1
1014 0.0 0.0 1 1014 acpid 1
1015 0.5 0.0 1 1015 whoopsie 3
1016 0.1 0.0 1 1016 cron 1
1041 0.3 0.0 1 1041 cups-browsed 1
1056 0.1 0.0 1 1056 and 1
1074 0.1 0.0 1 1074 kerneloops 1
1142 3.1 0.1 1 1142 mysqld 17
1204 1.2 0.0 1 1204 apache2 1
1218 0.2 0.0 866 1218 dhclient 1
1254 0.4 0.0 1204 1254 apache2 1
1255 0.4 0.0 1204 1255 apache2 1
1256 0.4 0.0 1204 1256 apache2 1
1257 0.4 0.0 1204 1257 apache2 1
1258 0.4 0.0 1204 1258 apache2 1
1274 0.1 0.0 866 1274 dnsmasq 1
1337 0.1 0.0 1 1337 getty 1
1428 0.5 0.0 1 1428 winbindd 1
1457 0.2 0.0 1 1457 nmbd 1
1460 0.4 0.0 1428 1460 winbindd 1
1528 0.3 0.0 1 1528 lightdm 3
1543 2.0 0.8 1528 1543 Xorg 3
1546 0.3 0.0 1 1546 accounts-daemon 3
1565 0.7 0.1 1 1565 teamviewerd 12
1685 0.0 0.0 2 1685 kauditd 1
1775 0.3 0.0 1528 1775 lightdm 2
1803 0.3 0.0 1 1803 cupsd 1
1807 0.5 0.0 1 1807 colord 3
1835 0.3 0.0 1 1835 gnome-keyring-d 8
1837 1.0 0.2 1775 1837 gnome-session 4
1912 0.0 0.0 1837 1912 ssh-agent 1
1915 0.0 0.0 1 1915 dbus-launch 1
1916 0.1 0.1 1 1916 dbus-daemon 1
1927 0.3 0.0 1 1927 ibus-daemon 3
1939 0.2 0.0 1 1939 gvfsd 2
1944 0.2 0.0 1 1944 gvfsd-fuse 5
1953 0.3 0.0 1927 1953 ibus-dconf 4
1955 0.7 0.0 1 1955 ibus-x11 3
1957 0.2 0.0 1 1957 at-spi-bus-laun 4
1961 0.1 0.0 1957 1961 dbus-daemon 1
1964 0.2 0.0 1 1964 at-spi2-registr 2
1981 1.7 0.3 1837 1981 gnome-settings- 4
2014 0.5 0.0 1 2014 pulseaudio 3
2016 0.1 0.0 1 2016 rtkit-daemon 3
2018 0.3 0.0 1 2018 upowerd 3
